step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad
72,5.756,19.4291,7.0242,27.4461,-1.8439,-1.4407,1.6872,2.701,29.509,40.164,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7968,-1.3542,1.7,2.82,-0.4615,0,0,0,0.27,0.129,0.871,0,0,0.0,3,SEARCH_PHASE,-1.8439,-1.4407
73,5.826,19.3924,6.9955,27.4798,-1.8357,-1.4347,1.688,2.789,29.462,40.152,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7969,-1.3541,1.7,2.82,-0.4691,0,0,0,0.271,0.129,0.871,0,0,0.0,3,SEARCH_PHASE,-1.8357,-1.4347
74,5.896,19.3558,6.9669,27.5136,-1.8283,-1.4266,1.6885,2.876,29.416,40.141,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7969,-1.3541,1.7,2.82,-0.4562,0,0,0,0.267,0.129,0.871,0,0,0.0,3,SEARCH_PHASE,-1.8283,-1.4266
75,5.966,19.3194,6.9386,27.5474,-1.818,-1.4172,1.6886,2.962,29.37,40.131,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.797,-1.354,1.7,2.82,-0.4911,0,0,0,0.268,0.13,0.87,0,0,0.0,3,SEARCH_PHASE,-1.818,-1.4172
76,6.037,19.2833,6.9105,27.5812,-1.8081,-1.4058,1.6887,3.048,29.324,40.12,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.797,-1.354,1.7,2.82,-0.4399,0,0,0,0.267,0.132,0.868,0,0,0.0,3,SEARCH_PHASE,-1.8081,-1.4058
77,6.107,19.2473,6.8826,27.6149,-1.7986,-1.3955,1.6887,3.134,29.278,40.11,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.797,-1.354,1.7,2.82,-0.4786,0,0,0,0.267,0.121,0.879,0,0,0.0,3,SEARCH_PHASE,-1.7986,-1.3955
78,6.179,19.2115,6.8549,27.6487,-1.7888,-1.3825,1.6883,3.228,29.233,40.1,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.797,-1.3539,1.7,2.82,-0.4586,0,0,0,0.267,0.121,0.879,0,0,0.0,3,SEARCH_PHASE,-1.7888,-1.3825
79,6.249,19.1759,6.8275,27.6825,-1.7795,-1.3701,1.6882,3.409,29.188,40.09,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7971,-1.3539,1.7,2.82,-0.493,0,0,0,0.269,0.124,0.876,0,0,0.0,3,SEARCH_PHASE,-1.7795,-1.3701
80,6.325,19.1405,6.8004,27.7162,-1.7708,-1.3572,1.6882,3.588,29.144,40.081,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7971,-1.3539,1.7,2.82,-0.4421,0,0,0,0.268,0.129,0.871,0,0,0.0,3,SEARCH_PHASE,-1.7708,-1.3572
81,6.398,19.1053,6.7734,27.75,-1.7631,-1.3468,1.6882,3.766,29.099,40.072,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7971,-1.3539,1.7,2.82,-0.4798,0,0,0,0.269,0.131,0.869,0,0,0.0,3,SEARCH_PHASE,-1.7631,-1.3468
